Focusing on dataset from 201124 to 201127 (each bird wore each headpack once),,,,,,,,,,,
"For determining if usable, I check if they properly land/takeoff on each perch (cant properly check from end2ini when there are obstacles; properly: both legs on perch)",,,,,,,,,,,
"For determining TO frame: visually checking in Nexus, selecting the frame when the head markers dip before jumping off the perch",,,,,,,,,,,
"For determining L frame: visually checking in Nexus, selecting the frame when the head markers dip first time on landing perch. *some of the frame_L_2 seem more like TO frame towards the falconer. It seems it is trials with no food drectly on the perch",,,,,,,,,,,
,,Way around obstacles: INI2END,Way around obstacles: END2INI,,,,,,,,
Trial name,Usable flight INI2END? ,(around-L / around-R / over / other),(around-L / around-R / over / other),Usable flight END2INI*?,Usable BOTH LEGS?,Headpack,Obstacles,frame_TO_1,frame_L_1,frame_TO_2,frame_L_2
201125_Ruby16,"yes* (cant see ini perch in ref video, but in mocap seems ok)",around-R,around-R,"yes* (cant see ini perch in ref video, but in mocap seems ok)",no,4m,yes,,,,
201126_Drogon01,yes,,,yes,yes,lmax45,no,,,,
201126_Drogon02,yes (took off from edge of perch),,,yes,no,lmax45,no,,,,
201126_Drogon03,yes,,,yes,yes,lmax45,no,,,,
201126_Drogon04,yes,,,yes,yes,lmax45,no,,,,
201126_Drogon05,yes,,,yes,yes,lmax45,no,,,,
201126_Drogon06,yes,,,"no, he didnt land on ini perch (went thru)",no,lmax45,no,,,,
201126_Drogon06bis,yes,,,yes,yes,lmax45,no,,,,
201126_Drogon07,yes,,,yes,yes,lmax45,no,,,,
201126_Drogon08,yes,,,"no, he didnt land on ini perch (went thru)",no,lmax45,no,,,,
201126_Drogon08bis,yes,,,yes,yes,lmax45,no,,,,
201126_Drogon09,"yes, jump but both legs touch",around-R,around-R,yes,no,lmax45,yes,,,,
201126_Drogon10,yes,around-L,around-R,yes,yes,lmax45,yes,,,,
201126_Drogon11,yes,around-R,around-R,yes,yes,lmax45,yes,,,,
201126_Drogon12,yes,around-L,over,yes,yes,lmax45,yes,,,,
201126_Drogon13,yes,around-R,around-R,yes,yes,lmax45,yes,,,,
201126_Drogon14,"yes, first and second rep",around-L,around-L,"yes, in the second rep",no,lmax45,yes,,,,
201126_Drogon15,yes,around-L,around-R,yes,yes,lmax45,yes,,,,
201126_Drogon16,"yes, first and second rep",around-L,around-L,"yes, in second rep",no,lmax45,yes,,,,
201126_Toothless01,yes,,,"no, didnt land on ini perch",no,lmax55,no,,,,
201126_Toothless01bis,yes,,,yes,yes,lmax55,no,,,,
201126_Toothless02,"yes, in second rep",,,"yes, first and second rep",no,lmax55,no,,,,
201126_Toothless03,yes,,,yes,yes,lmax55,no,,,,
201126_Toothless04,yes,,,yes,yes,lmax55,no,,,,
201126_Toothless05,yes,,,yes,yes,lmax55,no,,,,
201126_Toothless06,yes,,,yes,yes,lmax55,no,,,,
201126_Toothless07,yes,,,yes,yes,lmax55,no,,,,
201126_Toothless08,yes,,,yes,yes,lmax55,no,,,,
201126_Toothless09,yes,around-R,around-R,yes,yes,lmax55,yes,,,,
201126_Toothless10,yes,around-R,around-L,yes,yes,lmax55,yes,,,,
201126_Toothless11,yes,around-L,over,"no, didnt land on ini perch",no,lmax55,yes,,,,
201126_Toothless11bis,yes,around-L,around-L,yes,yes,lmax55,yes,,,,
201126_Toothless12,yes,around-L,around-L,yes,yes,lmax55,yes,,,,
201126_Toothless13,yes,around-R,around-R,yes,yes,lmax55,yes,,,,
201126_Toothless14,"yes, on the second rep",around-R,around-R,"yes, first and second rep",no,lmax55,yes,,,,
201126_Toothless15,yes,around-R,around-L,yes,yes,lmax55,yes,,,,
201126_Toothless16,yes,around-L,around-L,yes,yes,lmax55,yes,,,,
201126_Charmander01,yes,,,yes,yes,4m ,no,,,,
201126_Charmander02,yes,,,yes,yes,4m,no,,,,
201126_Charmander03,yes,,,yes,yes,4m,no,,,,
201126_Charmander04,"yes, on the second rep",,,"yes, first and second rep",no,4m,no,,,,
201126_Charmander05,yes,,,yes,yes,4m,no,,,,
